Geneid,Chr,Start,End,Strand,Length,ML-sta1_CTTGTA_L005/bowtie1_mapping_ref/ML-sta1_CTTGTA_L005.sorted.bam,ML-exp1_GCCAAT_L006/bowtie1_mapping_ref/ML-exp1_GCCAAT_L006.sorted.bam
gene4167,CU928145.2,4182091,4183149,-,1059,51,331
gene4168,CU928145.2,4183562,4184839,+,1278,47,144
gene4169,CU928145.2,4184847,4185326,+,480,15,39
gene4170,CU928145.2,4185365,4186174,-,810,4,30
gene4171,CU928145.2,4186272,4186439,-,168,109,2778
gene4172,CU928145.2,4186460,4186696,-,237,127,7064
gene4173,CU928145.2,4186913,4187581,-,669,11,175
gene4174,CU928145.2,4187753,4188973,+,1221,9,61
gene4175,CU928145.2,4188954,4189409,+,456,12,83
gene4176,CU928145.2,4189516,4190112,+,597,3,70
gene4177,CU928145.2,4190149,4190790,-,642,0,23
gene4178,CU928145.2,4190856,4191596,-,741,13,60
gene4179,CU928145.2,4191699,4192562,+,864,113,177
gene4180,CU928145.2,4192771,4193607,+,837,18,61
gene4181,CU928145.2,4193899,4194516,+,618,1,149
gene4182,CU928145.2,4194513,4196195,-,1683,3,20
gene4183,CU928145.2,4196453,4197076,+,624,140,582
gene4184,CU928145.2,4197131,4197406,+,276,48,69
gene4185,CU928145.2,4197425,4199533,+,2109,42,225
gene4186,CU928145.2,4199540,4200229,+,690,7,58
gene4187,CU928145.2,4200235,4202316,+,2082,4,61
gene4188,CU928145.2,4202482,4203687,-,1206,18,36
gene4189,CU928145.2,4203967,4205358,+,1392,50,40
gene4190,CU928145.2,4205479,4207188,+,1710,106,157
gene4191,CU928145.2,4207241,4209559,-,2319,21,37
gene4192,CU928145.2,4209569,4210951,-,1383,2,16
gene4193,CU928145.2,4211244,4211334,+,91,4,25
gene4194,CU928145.2,4211444,4211593,+,150,0,5
gene4195,CU928145.2,4211975,4213159,+,1185,0,4
gene4196,CU928145.2,4213270,4214193,+,924,17,74
gene4197,CU928145.2,4214197,4215015,-,819,13,53
gene4198,CU928145.2,4215237,4215530,+,294,13,22
gene4199,CU928145.2,4215571,4216926,-,1356,3,28
gene4200,CU928145.2,4216972,4217424,-,453,5,10
gene4201,CU928145.2,4217477,4218811,-,1335,3,3
gene4202,CU928145.2,4218986,4220752,+,1767,6,20
gene4203,CU928145.2,4220797,4222188,-,1392,7,366
gene4204,CU928145.2,4222326,4223645,-,1320,0,9
gene4205,CU928145.2,4223655,4225157,-,1503,0,9
gene4206,CU928145.2,4225157,4225747,-,591,2,2
gene4207,CU928145.2,4225822,4226112,-,291,59,21
gene4208,CU928145.2,4226116,4227804,-,1689,29,28
gene4209,CU928145.2,4227788,4228285,+,498,13,20
gene4210,CU928145.2,4227910,4228008,-,99,0,0
gene4211,CU928145.2,4228138,4228277,-,140,0,0
gene4212,CU928145.2,4228537,4228788,-,252,172,511
gene4213,CU928145.2,4229081,4230265,+,1185,12,21
gene4214,CU928145.2,4230273,4230770,-,498,16,83
gene4215,CU928145.2,4230767,4231129,-,363,2,6
gene4216,CU928145.2,4231119,4231466,-,348,15,7
gene4217,CU928145.2,4231575,4232024,+,450,2,8
gene4218,CU928145.2,4232071,4233564,-,1494,31,13
gene4219,CU928145.2,4233561,4235276,-,1716,4,2
gene4220,CU928145.2,4235413,4236336,+,924,18,17
gene4221,CU928145.2,4236333,4236545,-,213,0,1
gene4222,CU928145.2,4236509,4237147,-,639,3,7
gene4223,CU928145.2,4237147,4239024,-,1878,2,9
gene4224,CU928145.2,4239059,4239775,+,717,0,3
gene4225,CU928145.2,4239772,4241433,-,1662,14,151
gene4226,CU928145.2,4241630,4242058,-,429,8,80
gene4227,CU928145.2,4242170,4242583,-,414,34,245
gene4228,CU928145.2,4242889,4243221,+,333,75,94
gene4229,CU928145.2,4243223,4244437,-,1215,11,37
gene4230,CU928145.2,4244538,4245602,+,1065,1,11
gene4231,CU928145.2,4245599,4246891,-,1293,2,9
gene4232,CU928145.2,4247011,4248159,-,1149,2,2
gene4233,CU928145.2,4248156,4248773,-,618,3,6
gene4234,CU928145.2,4248757,4249635,-,879,10,12
gene4235,CU928145.2,4249632,4250321,-,690,8,19
gene4236,CU928145.2,4250599,4251255,+,657,15,114
gene4237,CU928145.2,4251301,4252113,-,813,27,69
gene4238,CU928145.2,4252228,4252626,-,399,48,35
gene4239,CU928145.2,4252866,4255280,-,2415,120,402
gene4240,CU928145.2,4255309,4256382,-,1074,10,66
gene4241,CU928145.2,4256382,4257482,-,1101,17,103
gene4242,CU928145.2,4257487,4258890,-,1404,34,317
gene4243,CU928145.2,4259497,4259637,+,141,47,2943
gene4244,CU928145.2,4259654,4260013,+,360,0,77
gene4245,CU928145.2,4259977,4260234,+,258,0,36
gene4246,CU928145.2,4260237,4261883,+,1647,40,713
gene4247,CU928145.2,4261989,4263353,+,1365,9,64
gene4248,CU928145.2,4263596,4263670,+,75,65,49
gene4249,CU928145.2,4263891,4265306,+,1416,15,381
gene4250,CU928145.2,4265397,4266644,+,1248,1,41
gene4251,CU928145.2,4266777,4267952,+,1176,1,12
gene4252,CU928145.2,4267927,4268886,+,960,33,51
gene4253,CU928145.2,4269031,4269792,+,762,8,63
gene4254,CU928145.2,4269814,4270380,+,567,13,82
gene4255,CU928145.2,4270434,4271771,-,1338,4,52
gene4256,CU928145.2,4271938,4272603,+,666,7,72
gene4257,CU928145.2,4272670,4273143,+,474,0,13
gene4258,CU928145.2,4273192,4273779,+,588,7,111
gene4259,CU928145.2,4273841,4274563,-,723,0,20
gene4260,CU928145.2,4274578,4275774,-,1197,3,14
gene4261,CU928145.2,4275774,4277390,-,1617,0,5
gene4262,CU928145.2,4277476,4278870,-,1395,1,12
gene4263,CU928145.2,4278889,4280766,-,1878,1,10
gene4264,CU928145.2,4280900,4281277,-,378,0,1
gene4265,CU928145.2,4281293,4281760,-,468,0,3
gene4266,CU928145.2,4282022,4282747,-,726,6,57
gene4267,CU928145.2,4282762,4283535,-,774,6,50
gene4268,CU928145.2,4283626,4284516,-,891,5,15
gene4269,CU928145.2,4284516,4285475,-,960,1,26
gene4270,CU928145.2,4285562,4286602,-,1041,4,56
gene4271,CU928145.2,4286850,4287923,-,1074,4,63
gene4272,CU928145.2,4287934,4290456,-,2523,32,74
gene4273,CU928145.2,4290481,4291212,-,732,3,7
gene4274,CU928145.2,4291260,4291832,-,573,3,60
gene4275,CU928145.2,4292134,4293963,-,1830,69,1214
gene4276,CU928145.2,4294125,4295495,-,1371,124,444
gene4277,CU928145.2,4295846,4296265,-,420,54,387
gene4278,CU928145.2,4296286,4297668,-,1383,30,501
gene4279,CU928145.2,4297695,4298558,-,864,10,333
gene4280,CU928145.2,4298609,4300150,-,1542,24,937
gene4281,CU928145.2,4300163,4300696,-,534,13,420
gene4282,CU928145.2,4300711,4301181,-,471,9,652
gene4283,CU928145.2,4301243,4301482,-,240,12,442
gene4284,CU928145.2,4301529,4302344,-,816,34,672
gene4285,CU928145.2,4302353,4302733,-,381,12,308
gene4286,CU928145.2,4303350,4303973,-,624,41,157
gene4287,CU928145.2,4304037,4305926,-,1890,17,152
gene4288,CU928145.2,4306305,4306748,-,444,32,104
gene4289,CU928145.2,4306838,4307296,-,459,5,24
gene4290,CU928145.2,4307448,4308440,+,993,20,529
gene4291,CU928145.2,4308445,4309896,-,1452,14,122
gene4292,CU928145.2,4309890,4311386,-,1497,14,205
gene4293,CU928145.2,4311609,4313477,+,1869,6,82
gene4294,CU928145.2,4313644,4314063,+,420,65,1948
gene4295,CU928145.2,4314071,4315576,+,1506,8,204
gene4296,CU928145.2,4315581,4316546,+,966,7,173
gene4297,CU928145.2,4316571,4317461,+,891,58,1002
gene4298,CU928145.2,4317587,4318516,+,930,8,259
gene4299,CU928145.2,4318520,4319512,+,993,23,169
gene4300,CU928145.2,4319478,4320905,-,1428,13,138
gene4301,CU928145.2,4320928,4321620,-,693,22,437
gene4302,CU928145.2,4322101,4323642,+,1542,294,119
gene4303,CU928145.2,4323728,4323803,+,76,53,8138
gene4304,CU928145.2,4323997,4326900,+,2904,363,204
gene4305,CU928145.2,4326993,4327112,+,120,52,24
gene4306,CU928145.2,4327165,4327241,+,77,4,23
gene4307,CU928145.2,4327250,4327325,+,76,16,80
gene4308,CU928145.2,4327421,4328260,-,840,103,199
gene4309,CU928145.2,4328379,4328717,+,339,100,2280
gene4310,CU928145.2,4328742,4330292,-,1551,4,33
gene4311,CU928145.2,4330615,4330713,+,99,220,645
gene4312,CU928145.2,4330853,4332499,+,1647,22,59
gene4313,CU928145.2,4332496,4332759,+,264,1,6
gene4314,CU928145.2,4332779,4333708,+,930,17,52
gene4315,CU928145.2,4333773,4335623,+,1851,11,51
gene4316,CU928145.2,4335626,4337170,+,1545,28,43
gene4317,CU928145.2,4337222,4338115,-,894,14,49
gene4318,CU928145.2,4338265,4339740,+,1476,20,747
gene4319,CU928145.2,4339827,4340108,-,282,5,372
gene4320,CU928145.2,4340307,4340798,-,492,22,167
gene4321,CU928145.2,4340973,4342994,+,2022,13,48
gene4322,CU928145.2,4343041,4344525,-,1485,63,221
gene4323,CU928145.2,4344659,4345924,-,1266,177,320
gene4324,CU928145.2,4346055,4346384,+,330,416,5141
gene4325,CU928145.2,4346525,4346626,+,102,82,974
gene4326,CU928145.2,4346711,4347970,+,1260,39,1254
gene4327,CU928145.2,4347980,4348198,+,219,1,41
gene4328,CU928145.2,4348210,4349313,+,1104,54,383
gene4329,CU928145.2,4349325,4350371,+,1047,46,168
gene4330,CU928145.2,4350427,4351557,+,1131,7,152
gene4331,CU928145.2,4351554,4352816,+,1263,4,109
gene4332,CU928145.2,4352816,4353883,+,1068,20,74
gene4333,CU928145.2,4353902,4354783,+,882,13,28
gene4334,CU928145.2,4354761,4355435,+,675,7,21
gene4335,CU928145.2,4355440,4356570,+,1131,15,19
gene4336,CU928145.2,4356572,4357822,+,1251,4,31
gene4337,CU928145.2,4357819,4358898,+,1080,15,40
gene4338,CU928145.2,4358895,4360247,+,1353,19,22
gene4339,CU928145.2,4360250,4360990,+,741,20,49
gene4340,CU928145.2,4361181,4362566,+,1386,676,75
gene4341,CU928145.2,4362669,4362745,+,77,51,121
gene4342,CU928145.2,4362804,4362879,+,76,16,563
gene4343,CU928145.2,4362900,4362986,+,87,100,388
gene4344,CU928145.2,4363029,4363105,+,77,1,41
gene4345,CU928145.2,4363252,4364487,+,1236,4,30
gene4346,CU928145.2,4364571,4364732,-,162,1,2
gene4347,CU928145.2,4365157,4365328,+,172,1842,10548
gene4348,CU928145.2,4365411,4366607,-,1197,45,338
gene4349,CU928145.2,4366610,4367815,-,1206,39,272
gene4350,CU928145.2,4367837,4368577,-,741,78,56
gene4351,CU928145.2,4368574,4369515,-,942,125,166
gene4352,CU928145.2,4369902,4372448,+,2547,816,1481
gene4353,CU928145.2,4372488,4372808,-,321,29,141
gene4354,CU928145.2,4372856,4374181,-,1326,2,31
gene4355,CU928145.2,4374178,4375686,-,1509,5,26
gene4356,CU928145.2,4376024,4376578,-,555,4,13
gene4357,CU928145.2,4376585,4376719,-,135,0,3
gene4358,CU928145.2,4376928,4377131,+,204,25,45
gene4359,CU928145.2,4377168,4377992,+,825,20,63
gene4360,CU928145.2,4377989,4378696,+,708,0,21
gene4361,CU928145.2,4378693,4379589,+,897,3,52
gene4362,CU928145.2,4379589,4380305,+,717,5,43
gene4363,CU928145.2,4380389,4382551,+,2163,49,68
gene4364,CU928145.2,4382698,4383462,-,765,3,31
gene4365,CU928145.2,4383832,4384782,+,951,22,49
gene4366,CU928145.2,4384824,4385315,-,492,1,6
gene4367,CU928145.2,4385312,4386166,-,855,3,13
gene4368,CU928145.2,4386290,4386493,+,204,0,3
gene4369,CU928145.2,4386518,4386796,-,279,0,0
gene4370,CU928145.2,4386573,4386689,+,117,0,0
gene4371,CU928145.2,4387076,4387420,+,345,1,6
gene4372,CU928145.2,4387467,4388354,-,888,9,43
gene4373,CU928145.2,4388406,4388873,-,468,27,8
gene4374,CU928145.2,4389038,4389907,+,870,7,91
gene4375,CU928145.2,4390040,4391869,+,1830,2,55
gene4376,CU928145.2,4391933,4392553,+,621,8,38
gene4377,CU928145.2,4392615,4393235,-,621,5,30
gene4378,CU928145.2,4393346,4394368,+,1023,47,216
gene4379,CU928145.2,4394376,4395176,+,801,11,58
gene4380,CU928145.2,4395252,4396151,+,900,3,12
gene4381,CU928145.2,4396039,4396992,-,954,1,3
gene4382,CU928145.2,4397110,4399371,+,2262,14,21
gene4383,CU928145.2,4399410,4400225,-,816,115,27
gene4384,CU928145.2,4400487,4401248,+,762,37,1423
gene4385,CU928145.2,4401389,4402816,+,1428,15,128
gene4386,CU928145.2,4402911,4403666,+,756,81,98
gene4387,CU928145.2,4403680,4404285,+,606,26,71
gene4388,CU928145.2,4404282,4405922,+,1641,35,447
gene4389,CU928145.2,4406001,4406270,+,270,57,658
gene4390,CU928145.2,4406274,4406789,+,516,35,187
gene4391,CU928145.2,4406792,4407568,+,777,20,262
gene4392,CU928145.2,4407610,4408392,+,783,14,61
gene4393,CU928145.2,4408389,4408877,-,489,13,100
gene4394,CU928145.2,4409044,4410537,+,1494,66,238
gene4395,CU928145.2,4410583,4411284,+,702,22,185
gene4396,CU928145.2,4411476,4412639,-,1164,44,22
gene4397,CU928145.2,4412649,4414838,-,2190,67,14
gene4398,CU928145.2,4415028,4416359,+,1332,70,156
gene4399,CU928145.2,4416359,4416973,+,615,19,38
gene4400,CU928145.2,4417012,4418463,+,1452,45,142
gene4401,CU928145.2,4418475,4419020,+,546,8,125
gene4402,CU928145.2,4419398,4420939,+,1542,291,119
gene4403,CU928145.2,4421008,4421084,+,77,5,705
gene4404,CU928145.2,4421127,4421202,+,76,7,649
gene4405,CU928145.2,4421386,4424288,+,2903,362,200
gene4406,CU928145.2,4424382,4424501,+,120,52,18
gene4407,CU928145.2,4424604,4425116,-,513,15,37
gene4408,CU928145.2,4425113,4425697,-,585,8,34
gene4409,CU928145.2,4425767,4426036,+,270,39,1244
gene4410,CU928145.2,4426113,4427099,+,987,63,736
gene4411,CU928145.2,4427116,4427742,+,627,141,954
gene4412,CU928145.2,4427897,4429327,+,1431,4,129
gene4413,CU928145.2,4429368,4430300,-,933,9,155
gene4414,CU928145.2,4430664,4433450,+,2787,47,196
gene4415,CU928145.2,4433598,4433706,+,109,1117,84
gene4416,CU928145.2,4433832,4434428,-,597,42,131
gene4417,CU928145.2,4434735,4434979,+,245,20658,8508
gene4418,CU928145.2,4435046,4435555,+,510,241,17
gene4419,CU928145.2,4435744,4437117,+,1374,51,168
gene4420,CU928145.2,4437529,4438938,-,1410,31,72
gene4421,CU928145.2,4438950,4439999,-,1050,50,97
gene4422,CU928145.2,4440285,4441694,-,1410,6,1329
gene4423,CU928145.2,4441822,4441974,-,153,3,38
gene4424,CU928145.2,4442067,4443890,+,1824,117,511
gene4425,CU928145.2,4444106,4444816,+,711,10,21
gene4426,CU928145.2,4444824,4445804,+,981,9,103
gene4427,CU928145.2,4445906,4447171,+,1266,1,80
gene4428,CU928145.2,4447282,4448070,-,789,35,60
gene4429,CU928145.2,4448110,4449045,-,936,2,20
gene4430,CU928145.2,4448978,4450057,+,1080,2,5
gene4431,CU928145.2,4450082,4450969,+,888,2,5
gene4432,CU928145.2,4451002,4452012,+,1011,2,12
gene4433,CU928145.2,4452082,4453515,+,1434,1,28
gene4434,CU928145.2,4453614,4454963,+,1350,4,20
gene4435,CU928145.2,4454896,4455840,+,945,1,20
gene4436,CU928145.2,4455981,4456580,+,600,11,21
gene4437,CU928145.2,4456574,4457446,+,873,82,72
gene4438,CU928145.2,4457443,4457880,+,438,15,39
gene4439,CU928145.2,4457877,4458866,+,990,13,46
gene4440,CU928145.2,4458930,4459913,-,984,20,15
gene4441,CU928145.2,4460067,4460378,+,312,9,26
gene4442,CU928145.2,4460379,4460669,+,291,22,34
gene4443,CU928145.2,4461255,4461473,+,219,1,6
gene4444,CU928145.2,4461717,4461935,+,219,5,9
gene4445,CU928145.2,4462265,4463194,-,930,8,170
gene4446,CU928145.2,4463191,4463826,-,636,32,327
gene4447,CU928145.2,4463823,4464725,-,903,79,540
gene4448,CU928145.2,4464738,4467788,-,3051,260,991
gene4449,CU928145.2,4467982,4468815,+,834,47,86
gene4450,CU928145.2,4468968,4470008,+,1041,0,4
gene4451,CU928145.2,4470058,4471806,-,1749,2,14
gene4452,CU928145.2,4471806,4472876,-,1071,1,4
gene4453,CU928145.2,4472866,4474317,-,1452,4,2
gene4454,CU928145.2,4474328,4474774,-,447,1,0
gene4455,CU928145.2,4475087,4475401,-,315,1,8
gene4456,CU928145.2,4475411,4476235,-,825,3,3
gene4457,CU928145.2,4476477,4477736,-,1260,1,8
gene4458,CU928145.2,4477733,4479202,-,1470,1,5
gene4459,CU928145.2,4479490,4480326,+,837,1,5
gene4460,CU928145.2,4480310,4481248,+,939,6,44
gene4461,CU928145.2,4481245,4482279,-,1035,11,3
gene4462,CU928145.2,4482564,4483184,+,621,681,262
gene4463,CU928145.2,4483402,4484376,+,975,543,593
gene4464,CU928145.2,4484574,4485248,+,675,20,68
gene4465,CU928145.2,4485354,4486727,-,1374,16,145
gene4466,CU928145.2,4486724,4487422,-,699,18,155
gene4467,CU928145.2,4487572,4488072,+,501,1573,804
gene4468,CU928145.2,4488221,4489123,+,903,160,135
gene4469,CU928145.2,4489304,4490266,+,963,256,653
gene4470,CU928145.2,4490586,4491575,+,990,13,18
gene4471,CU928145.2,4491682,4492437,+,756,3,44
gene4472,CU928145.2,4492492,4493259,-,768,156,1001
gene4473,CU928145.2,4493367,4493966,-,600,9,122
gene4474,CU928145.2,4494067,4494507,+,441,204,39
gene4475,CU928145.2,4494719,4495018,+,300,39,174
gene4476,CU928145.2,4495045,4495473,+,429,114,536
gene4477,CU928145.2,4495478,4496224,-,747,27,40
gene4478,CU928145.2,4496321,4497331,-,1011,12,94
gene4479,CU928145.2,4497467,4498975,-,1509,31,967
gene4480,CU928145.2,4498998,4499843,-,846,7,339
gene4481,CU928145.2,4500269,4500514,+,246,470,10650
gene4482,CU928145.2,4500599,4501084,-,486,449,519
gene4483,CU928145.2,4501177,4502103,-,927,5,23
gene4484,CU928145.2,4502170,4503501,-,1332,168,419
gene4485,CU928145.2,4503511,4504041,-,531,76,102
gene4486,CU928145.2,4504134,4505093,-,960,64,170
gene4487,CU928145.2,4505185,4506210,-,1026,6,157
gene4488,CU928145.2,4506366,4508564,-,2199,12,31
gene4489,CU928145.2,4508767,4508979,+,213,499,3231
gene4490,CU928145.2,4509139,4513323,+,4185,99,181
gene4491,CU928145.2,4513617,4513931,-,315,13,29
gene4492,CU928145.2,4513925,4514110,-,186,0,8
gene4493,CU928145.2,4514554,4514802,-,249,0,25
gene4494,CU928145.2,4514712,4515161,-,450,3,11
gene4495,CU928145.2,4515221,4515538,-,318,167,369
gene4496,CU928145.2,4515815,4516975,+,1161,2,25
gene4497,CU928145.2,4516978,4519410,+,2433,39,91
gene4498,CU928145.2,4519759,4520649,+,891,22,48
gene4499,CU928145.2,4520978,4523158,+,2181,53,275
gene4500,CU928145.2,4523252,4524157,+,906,4,47
gene4501,CU928145.2,4524184,4524801,-,618,0,9
gene4502,CU928145.2,4525076,4526179,-,1104,14,20
gene4503,CU928145.2,4526190,4526852,-,663,7,7
gene4504,CU928145.2,4526864,4529365,-,2502,2,8
gene4505,CU928145.2,4529674,4530753,+,1080,2,1
gene4506,CU928145.2,4530768,4531088,+,321,0,46
gene4507,CU928145.2,4531139,4533436,+,2298,3,17
gene4508,CU928145.2,4533402,4534280,+,879,2,5
gene4509,CU928145.2,4534282,4534623,+,342,0,2
gene4510,CU928145.2,4534610,4535461,-,852,5,13
gene4511,CU928145.2,4535676,4537409,-,1734,20,196
gene4512,CU928145.2,4537592,4540243,-,2652,66,228
gene4513,CU928145.2,4540595,4541746,-,1152,17,114
gene4514,CU928145.2,4541900,4542904,+,1005,7,18
gene4515,CU928145.2,4542915,4543688,+,774,6,6
gene4516,CU928145.2,4543749,4545122,+,1374,13,20
gene4517,CU928145.2,4545620,4546834,+,1215,2,13
gene4518,CU928145.2,4546901,4548184,+,1284,2,7
gene4519,CU928145.2,4548230,4548339,-,110,31,22
gene4520,CU928145.2,4548435,4549352,+,918,43,123
gene4521,CU928145.2,4549335,4550735,-,1401,164,148
gene4522,CU928145.2,4551012,4551716,+,705,49,221
gene4523,CU928145.2,4551716,4552075,+,360,30,368
gene4524,CU928145.2,4552115,4553215,-,1101,31,221
gene4525,CU928145.2,4553329,4553519,+,191,10,147
gene4526,CU928145.2,4553584,4555428,+,1845,20,186
gene4527,CU928145.2,4555373,4556230,+,858,22,143
gene4528,CU928145.2,4556604,4558145,+,1542,294,119
gene4529,CU928145.2,4558231,4558306,+,76,53,8138
gene4530,CU928145.2,4558500,4561403,+,2904,363,205
gene4531,CU928145.2,4561496,4561615,+,120,52,18
gene4532,CU928145.2,4561916,4562944,+,1029,16,202
gene4533,CU928145.2,4562941,4563906,+,966,12,79
gene4534,CU928145.2,4563935,4564885,-,951,12,363
gene4535,CU928145.2,4565247,4565322,+,76,9,6
gene4536,CU928145.2,4565331,4565415,+,85,12,803
gene4537,CU928145.2,4565532,4565606,+,75,18,500
gene4538,CU928145.2,4565613,4565688,+,76,2,397
gene4539,CU928145.2,4565803,4566987,+,1185,1735,10026
gene4540,CU928145.2,4567217,4567600,+,384,291,166
gene4541,CU928145.2,4567602,4568147,+,546,79,239
gene4542,CU928145.2,4568306,4568734,+,429,46,735
gene4543,CU928145.2,4568738,4569442,+,705,92,1723
gene4544,CU928145.2,4569855,4570352,+,498,280,2167
gene4545,CU928145.2,4570419,4570784,+,366,244,1817
gene4546,CU928145.2,4571104,4575132,+,4029,210,700
gene4547,CU928145.2,4575209,4579432,+,4224,275,1154
gene4548,CU928145.2,4579645,4580184,+,540,8,144
gene4549,CU928145.2,4580186,4580346,-,161,2049,408
gene4550,CU928145.2,4580594,4581727,-,1134,1,6
gene4551,CU928145.2,4581724,4582494,-,771,1,0
gene4552,CU928145.2,4582496,4582696,-,201,0,0
gene4553,CU928145.2,4582680,4583435,-,756,3,0
gene4554,CU928145.2,4583428,4584063,-,636,0,0
gene4555,CU928145.2,4584063,4585958,-,1896,4,20
gene4556,CU928145.2,4586039,4586139,-,101,158,109
gene4557,CU928145.2,4586191,4586667,-,477,109,131
gene4558,CU928145.2,4586762,4587535,+,774,66,20
gene4559,CU928145.2,4587575,4588639,+,1065,47,56
gene4560,CU928145.2,4588649,4589320,+,672,29,32
gene4561,CU928145.2,4589363,4589953,+,591,32,575
gene4562,CU928145.2,4590140,4590412,+,273,121,10979
gene4563,CU928145.2,4590425,4591120,+,696,2,75
gene4564,CU928145.2,4591122,4591547,-,426,0,2
gene4565,CU928145.2,4591785,4593161,+,1377,2,22
gene4566,CU928145.2,4593158,4594483,+,1326,8,10
gene4567,CU928145.2,4594480,4595769,-,1290,4,12
gene4568,CU928145.2,4595781,4597370,-,1590,4,10
gene4569,CU928145.2,4597985,4599526,+,1542,294,119
gene4570,CU928145.2,4599612,4599687,+,76,53,8138
gene4571,CU928145.2,4599881,4602784,+,2904,365,205
gene4572,CU928145.2,4602877,4602996,+,120,52,18
gene4573,CU928145.2,4603112,4603555,-,444,19,1
gene4574,CU928145.2,4603712,4604641,+,930,8,26
gene4575,CU928145.2,4604910,4606511,+,1602,437,11
gene4576,CU928145.2,4606541,4607845,+,1305,165,10
gene4577,CU928145.2,4608126,4609862,+,1737,62,11
gene4578,CU928145.2,4609831,4611405,-,1575,4,7
gene4579,CU928145.2,4611722,4612546,-,825,67,79
gene4580,CU928145.2,4612746,4616429,+,3684,52,101
gene4581,CU928145.2,4616649,4618280,+,1632,66,57
gene4582,CU928145.2,4618371,4619060,-,690,5,92
gene4583,CU928145.2,4619272,4620144,+,873,8,56
gene4584,CU928145.2,4620145,4620417,-,273,6,68
gene4585,CU928145.2,4620946,4622073,+,1128,2,8
gene4586,CU928145.2,4622070,4622870,+,801,2,11
gene4587,CU928145.2,4622906,4623838,-,933,17,66
gene4588,CU928145.2,4623977,4625326,-,1350,8,27
gene4589,CU928145.2,4625418,4625614,-,197,8,32
gene4590,CU928145.2,4625851,4627500,+,1650,579,398
gene4591,CU928145.2,4627836,4628084,-,249,2,1
gene4592,CU928145.2,4628211,4628849,+,639,0,2
gene4593,CU928145.2,4628846,4629583,+,738,1,1
gene4594,CU928145.2,4629583,4631679,+,2097,4,7
gene4595,CU928145.2,4631683,4631844,+,162,0,0
gene4596,CU928145.2,4631726,4632004,-,279,0,1
gene4597,CU928145.2,4632274,4632684,+,411,6,7
gene4598,CU928145.2,4632728,4634203,-,1476,12,16
gene4599,CU928145.2,4634575,4635465,-,891,25,114
gene4600,CU928145.2,4635480,4637024,-,1545,2,147
gene4601,CU928145.2,4637178,4638368,-,1191,4,599
gene4602,CU928145.2,4638733,4639848,+,1116,0,223
gene4603,CU928145.2,4639920,4641260,+,1341,13,269
gene4604,CU928145.2,4641412,4642332,+,921,53,180
gene4605,CU928145.2,4642561,4642755,+,195,0,3
gene4606,CU928145.2,4642813,4644141,+,1329,2,36
gene4607,CU928145.2,4644364,4644861,+,498,30,20
gene4608,CU928145.2,4644874,4645746,+,873,56,113
gene4609,CU928145.2,4645901,4648324,-,2424,73,222
gene4610,CU928145.2,4648495,4648863,+,369,12,68
gene4611,CU928145.2,4648973,4649581,+,609,64,123
gene4612,CU928145.2,4649600,4651000,+,1401,6,21
gene4613,CU928145.2,4651096,4651305,+,210,32914,91
gene4614,CU928145.2,4651347,4651862,-,516,237,45
gene4615,CU928145.2,4652180,4652434,+,255,1,0
gene4616,CU928145.2,4652425,4653171,+,747,5,7
gene4617,CU928145.2,4653535,4654572,+,1038,9,121
gene4618,CU928145.2,4654496,4654948,+,453,5,12
gene4619,CU928145.2,4655114,4656097,-,984,168,70
gene4620,CU928145.2,4656180,4657595,+,1416,9,151
gene4621,CU928145.2,4657648,4658727,+,1080,3,94
gene4622,CU928145.2,4658980,4660173,+,1194,7,92
gene4623,CU928145.2,4660395,4660937,-,543,2,15
gene4624,CU928145.2,4661300,4662013,+,714,8,206
gene4625,CU928145.2,4662124,4662540,+,417,59,41
gene4626,CU928145.2,4662544,4662900,+,357,42,23
gene4627,CU928145.2,4662935,4665757,-,2823,160,64
gene4628,CU928145.2,4666011,4666547,+,537,262,196
gene4629,CU928145.2,4666646,4666927,-,282,5,32
gene4630,CU928145.2,4667357,4668943,+,1587,80,55
gene4631,CU928145.2,4668946,4669269,-,324,159,21
gene4632,CU928145.2,4669355,4669819,+,465,16,10
gene4633,CU928145.2,4669813,4669952,-,140,3331,4
gene4634,CU928145.2,4670365,4671714,+,1350,4,16
gene4635,CU928145.2,4671865,4673514,+,1650,15,216
gene4636,CU928145.2,4673668,4674960,-,1293,9,21
gene4637,CU928145.2,4675138,4676787,-,1650,44,30
gene4638,CU928145.2,4676784,4677098,-,315,17,5
gene4639,CU928145.2,4677298,4679256,-,1959,358,28
gene4640,CU928145.2,4679648,4681084,+,1437,8,227
gene4641,CU928145.2,4681129,4681695,+,567,0,21
gene4642,CU928145.2,4681692,4682363,+,672,0,8
gene4643,CU928145.2,4682360,4683316,+,957,0,9
gene4644,CU928145.2,4683396,4685054,+,1659,0,10
gene4645,CU928145.2,4685047,4685430,+,384,0,3
gene4646,CU928145.2,4685427,4686023,+,597,2,9
gene4647,CU928145.2,4686365,4687678,+,1314,2,165
gene4648,CU928145.2,4687756,4688445,-,690,17,58
gene4649,CU928145.2,4688539,4690686,-,2148,11,64
gene4650,CU928145.2,4690884,4692350,-,1467,2,1
gene4651,CU928145.2,4692347,4694398,-,2052,3,5
gene4652,CU928145.2,4694398,4695429,-,1032,0,5
gene4653,CU928145.2,4695932,4697917,-,1986,2,5
